County,COVID,Population
Adair,12,25343
Andrew,6,17712
Atchison,2,5143
Audrain,1,25388
Barry,5,35789
Barton,0,11754
Bates,6,16172
Benton,8,19443
Bollinger,4,12133
Boone,97,180463
Buchanan,341,87364
Butler,26,42478
Caldwell,3,9020
Callaway,23,44743
Camden,35,46305
Cape Girardeau,49,78871
Carroll,2,8679
Carter,3,5982
Cass,142,105780
Cedar,5,14349
Chariton,5,7426
Christian,19,88595
Clark,1,6797
Clay,180,249948
Clinton,11,20387
Cole,54,76745
Cooper,9,17709
Crawford,8,23920
Dade,0,7561
Dallas,2,16878
Daviess,3,8278
DeKalb,3,12547
Dent,0,15573
Douglas,0,13185
Dunklin,23,29131
Franklin,125,103967
Gasconade,2,14706
Gentry,1,6571
Greene,91,293086
Grundy,0,9850
Harrison,6,8352
Henry,7,21824
Hickory,0,9544
Holt,1,4403
Howard,2,10001
Howell,5,40117
Iron,2,10125
Jackson,789,703011
Jasper,22,121328
Jefferson,279,225081
Johnson,59,54062
Knox,0,3959
Laclede,0,35723
Lafayette,45,32708
Lawrence,1,38355
Lewis,6,9776
Lincoln,51,59013
Linn,5,11920
Livingston,2,15227
Macon,2,15117
Madison,1,12088
Maries,2,8697
Marion,4,28530
McDonald,4,22837
Mercer,0,3617
Miller,2,25619
Mississippi,29,13180
Moniteau,42,16132
Monroe,0,8644
Montgomery,7,11551
Morgan,5,20627
New Madrid,11,17076
Newton,13,58236
Nodaway,4,22092
Oregon,2,10529
Osage,5,13615
Ozark,0,9174
Pemiscot,40,15805
Perry,43,19136
Pettis,48,42339
Phelps,2,44573
Pike,11,18302
Platte,76,104418
Polk,1,32149
Pulaski,36,52607
Putnam,0,4696
Ralls,1,10309
Randolph,8,24748
Ray,11,23018
Reynolds,2,6270
Ripley,5,13288
Saline,204,22761
Schuyler,0,4660
Scotland,4,4902
Scott,76,38280
Shannon,0,8166
Shelby,1,5930
St. Charles,611,402022
St. Clair,2,9397
St. Francois,27,67215
St. Louis City,1294,300576
St. Louis,3419,994205
Ste. Genevieve,9,17894
Stoddard,21,29025
Stone,3,31952
Sullivan,2,6089
Taney,12,55928
Texas,0,25398
Vernon,4,20563
Warren,22,35649
Washington,9,24730
Wayne,0,12873
Webster,15,39592
Worth,1,2013
Wright,9,18289
