fips,location,year,type,age,sex,count,population,rate,unstable,ci,lci,uci
27000,Minnesota,2012-2016,Pancreas,All Ages,All,4131,27254706,13.1,FALSE,(12.7 - 13.5),12.7,13.5
27001,Aitkin,2012-2016,Pancreas,All Ages,All,24,79419,12.9,FALSE,(8.2 - 21.2),8.2,21.2
27003,Anoka,2012-2016,Pancreas,All Ages,All,220,1709067,12.4,FALSE,(10.8 - 14.2),10.8,14.2
27005,Becker,2012-2016,Pancreas,All Ages,All,30,166637,13,FALSE,(8.6 - 19.1),8.6,19.1
27007,Beltrami,2012-2016,Pancreas,All Ages,All,37,227854,14.8,FALSE,(10.3 - 20.7),10.3,20.7
27009,Benton,2012-2016,Pancreas,All Ages,All,28,195535,14.3,FALSE,(9.4 - 20.8),9.4,20.8
27011,Big Stone,2012-2016,Pancreas,All Ages,All,6,25301,12.3 (UR),TRUE,(4.4 - 32.3),4.4,32.3
27013,Blue Earth,2012-2016,Pancreas,All Ages,All,39,326830,11.6,FALSE,(8.1 - 16.1),8.1,16.1
27015,Brown,2012-2016,Pancreas,All Ages,All,27,126430,14.8,FALSE,(9.4 - 22.6),9.4,22.6
27017,Carlton,2012-2016,Pancreas,All Ages,All,38,176806,14.9,FALSE,(10.5 - 20.8),10.5,20.8
27019,Carver,2012-2016,Pancreas,All Ages,All,50,485735,11.7,FALSE,(8.5 - 15.5),8.5,15.5
27021,Cass,2012-2016,Pancreas,All Ages,All,35,143102,13.6,FALSE,(9.4 - 19.6),9.4,19.6
27023,Chippewa,2012-2016,Pancreas,All Ages,All,14,60336,15.2,FALSE,(8.2 - 26.8),8.2,26.8
27025,Chisago,2012-2016,Pancreas,All Ages,All,35,269633,10.5,FALSE,(7.3 - 14.8),7.3,14.8
27027,Clay,2012-2016,Pancreas,All Ages,All,52,306810,15.9,FALSE,(11.8 - 20.9),11.8,20.9
27029,Clearwater,2012-2016,Pancreas,All Ages,All,10,43918,14.5,FALSE,(6.9 - 28.3),6.9,28.3
27031,Cook,2012-2016,Pancreas,All Ages,All,10,26132,18.3,FALSE,(8.6 - 39.9),8.6,39.9
27033,Cottonwood,2012-2016,Pancreas,All Ages,All,12,57464,12.8,FALSE,(6.5 - 23.8),6.5,23.8
27035,Crow Wing,2012-2016,Pancreas,All Ages,All,54,315892,11.2,FALSE,(8.3 - 14.8),8.3,14.8
27037,Dakota,2012-2016,Pancreas,All Ages,All,247,2056273,11.7,FALSE,(10.2 - 13.3),10.2,13.3
27039,Dodge,2012-2016,Pancreas,All Ages,All,10,101928,8.8,FALSE,(4.2 - 16.5),4.2,16.5
27041,Douglas,2012-2016,Pancreas,All Ages,All,48,183166,16.6,FALSE,(12.2 - 22.3),12.2,22.3
27043,Faribault,2012-2016,Pancreas,All Ages,All,20,70222,17.4,FALSE,(10.5 - 28.1),10.5,28.1
27045,Fillmore,2012-2016,Pancreas,All Ages,All,15,103969,9.3,FALSE,(5.1 - 16.2),5.1,16.2
27047,Freeborn,2012-2016,Pancreas,All Ages,All,38,153589,16,FALSE,(11.1 - 22.6),11.1,22.6
27049,Goodhue,2012-2016,Pancreas,All Ages,All,34,230534,9.9,FALSE,(6.8 - 14.1),6.8,14.1
27051,Grant,2012-2016,Pancreas,All Ages,All,6,29604,11.1 (UR),TRUE,(4.0 - 28.1),4,28.1
27053,Hennepin,2012-2016,Pancreas,All Ages,All,885,6056561,14,FALSE,(13.1 - 15.0),13.1,15
27055,Houston,2012-2016,Pancreas,All Ages,All,18,93654,12.5,FALSE,(7.1 - 20.9),7.1,20.9
27057,Hubbard,2012-2016,Pancreas,All Ages,All,28,103153,16.7,FALSE,(10.9 - 25.2),10.9,25.2
27059,Isanti,2012-2016,Pancreas,All Ages,All,18,191480,7.5,FALSE,(4.4 - 12.1),4.4,12.1
27061,Itasca,2012-2016,Pancreas,All Ages,All,35,226193,10.1,FALSE,(6.9 - 14.5),6.9,14.5
27063,Jackson,2012-2016,Pancreas,All Ages,All,13,50882,13.6,FALSE,(6.7 - 26.0),6.7,26
27065,Kanabec,2012-2016,Pancreas,All Ages,All,12,79684,10.8,FALSE,(5.5 - 19.8),5.5,19.8
27067,Kandiyohi,2012-2016,Pancreas,All Ages,All,29,212514,10.6,FALSE,(7.1 - 15.5),7.1,15.5
27069,Kittson,2012-2016,Pancreas,All Ages,All,4,22168,7.8 (UR),TRUE,(2.0 - 28.2),2,28.2
