FIPS,State,County,% Smokers,95% CI - Low,95% CI - High,Z-Score
27000,Minnesota,,15,14,15,
27001,Minnesota,Aitkin,15,15,16,0.10
27003,Minnesota,Anoka,15,14,15,-0.24
27005,Minnesota,Becker,17,16,17,0.85
27007,Minnesota,Beltrami,19,19,20,2.31
27009,Minnesota,Benton,17,16,18,0.96
27011,Minnesota,Big Stone,15,14,15,-0.20
27013,Minnesota,Blue Earth,16,15,17,0.51
27015,Minnesota,Brown,13,12,13,-1.22
27017,Minnesota,Carlton,20,19,20,2.39
27019,Minnesota,Carver,12,11,12,-1.65
27021,Minnesota,Cass,16,16,17,0.78
27023,Minnesota,Chippewa,15,15,16,0.23
27025,Minnesota,Chisago,15,14,15,-0.19
27027,Minnesota,Clay,15,15,16,0.26
27029,Minnesota,Clearwater,19,18,20,2.08
27031,Minnesota,Cook,15,15,16,0.25
27033,Minnesota,Cottonwood,14,14,15,-0.28
27035,Minnesota,Crow Wing,17,17,18,1.26
27037,Minnesota,Dakota,14,13,14,-0.63
27039,Minnesota,Dodge,14,13,14,-0.57
27041,Minnesota,Douglas,13,13,14,-0.83
27043,Minnesota,Faribault,14,14,15,-0.26
27045,Minnesota,Fillmore,15,15,16,0.19
27047,Minnesota,Freeborn,15,15,16,0.09
27049,Minnesota,Goodhue,15,14,15,-0.11
27051,Minnesota,Grant,15,14,16,0.05
27053,Minnesota,Hennepin,12,12,12,-1.61
27055,Minnesota,Houston,14,13,15,-0.51
27057,Minnesota,Hubbard,14,14,15,-0.32
27059,Minnesota,Isanti,15,14,15,-0.11
27061,Minnesota,Itasca,16,15,16,0.49
27063,Minnesota,Jackson,14,14,15,-0.39
27065,Minnesota,Kanabec,18,17,18,1.42
27067,Minnesota,Kandiyohi,15,15,16,0.26
27069,Minnesota,Kittson,15,14,16,0.00
27071,Minnesota,Koochiching,16,16,17,0.73
27073,Minnesota,Lac qui Parle,13,13,14,-0.83
27075,Minnesota,Lake,14,13,14,-0.61
27077,Minnesota,Lake of the Woods,15,14,15,-0.15
27079,Minnesota,Le Sueur,14,13,14,-0.68
27081,Minnesota,Lincoln,14,13,14,-0.61
27083,Minnesota,Lyon,15,14,15,-0.25
27085,Minnesota,McLeod,14,13,14,-0.64
27087,Minnesota,Mahnomen,25,25,26,3.00
27089,Minnesota,Marshall,14,13,15,-0.56
27091,Minnesota,Martin,14,13,14,-0.64
27093,Minnesota,Meeker,14,14,15,-0.44
27095,Minnesota,Mille Lacs,18,17,19,1.58
27097,Minnesota,Morrison,15,15,16,0.19
27099,Minnesota,Mower,15,15,16,0.09
27101,Minnesota,Murray,14,13,14,-0.61
27103,Minnesota,Nicollet,14,13,14,-0.59
27105,Minnesota,Nobles,14,14,15,-0.28
27107,Minnesota,Norman,15,15,16,0.08
27109,Minnesota,Olmsted,12,12,13,-1.48
27111,Minnesota,Otter Tail,13,12,13,-1.05
27113,Minnesota,Pennington,14,14,15,-0.28
27115,Minnesota,Pine,20,19,21,2.67
27117,Minnesota,Pipestone,15,15,16,0.12
27119,Minnesota,Polk,15,15,16,0.11
27121,Minnesota,Pope,14,13,15,-0.48
27123,Minnesota,Ramsey,14,13,14,-0.69
27125,Minnesota,Red Lake,15,14,15,-0.22
27127,Minnesota,Redwood,15,14,16,0.03
27129,Minnesota,Renville,14,14,15,-0.33
27131,Minnesota,Rice,15,14,15,-0.14
27133,Minnesota,Rock,14,13,15,-0.42
27135,Minnesota,Roseau,15,14,16,0.05
27137,Minnesota,St. Louis,17,16,17,0.90
27139,Minnesota,Scott,12,12,13,-1.52
27141,Minnesota,Sherburne,15,15,16,0.08
27143,Minnesota,Sibley,14,14,15,-0.46
27145,Minnesota,Stearns,15,14,15,-0.18
27147,Minnesota,Steele,14,14,15,-0.42
27149,Minnesota,Stevens,14,14,15,-0.34
27151,Minnesota,Swift,15,15,16,0.12
27153,Minnesota,Todd,15,14,15,-0.22
27155,Minnesota,Traverse,15,14,15,-0.22
27157,Minnesota,Wabasha,14,13,15,-0.49
27159,Minnesota,Wadena,16,15,17,0.52
27161,Minnesota,Waseca,15,14,15,-0.15
27163,Minnesota,Washington,11,11,12,-1.91
27165,Minnesota,Watonwan,15,15,16,0.18
27167,Minnesota,Wilkin,15,14,15,-0.11
27169,Minnesota,Winona,15,14,16,-0.02
27171,Minnesota,Wright,15,14,15,-0.14
27173,Minnesota,Yellow Medicine,15,15,16,0.09
