Easting,Northing,Ph,Elevation
-79.19,-22.53,7.91,0.244
-61.66,-55.39,7.14,0.375
-69.63,-31.93,6.81,0.567
-54.82,-44.38,6.97,0.512
-62.14,-37.94,7.21,0.408
-55.29,-14.6,6.94,0.512
-62.27,-23.3,6.59,0.506
-55.78,-13.17,6.94,0.488
-54.48,-28.7,6.94,0.488
-65,-6.62,8.43,0.232
-32.03,-32.95,7.09,0.567
-32.26,-31.99,7.06,0.561
-37.53,-46.78,7.17,0.448
-38.8,-29.55,6.87,0.561
-45.7,-20.69,7.1,0.488
-42.91,2.5,7.08,0.61
-39.89,3.68,6.7,1.036
-31.32,-6.99,7.27,0.503
-23.44,-38.71,7.03,0.457
-22.83,-39.94,6.83,0.436
-27.32,-15.11,6.94,0.543
-22.08,-14,7,0.607
-10.33,-12.96,6.9,1.03
-15.74,-4.16,6.8,0.96
-26.04,2.85,7.23,0.61
-13.14,-6.56,6.58,1.298
-18.95,26.56,6.93,0.433
-23.86,14.69,6.8,0.579
-12.26,15.72,6.63,0.732
-24.79,33.94,8.02,0.305
-25.61,34.17,8.18,0.28
-6.6,-42.14,6.58,0.43
-0.28,-31.2,7.24,0.442
-0.14,-30.04,6.89,0.511
-7.6,-11.39,7.44,0.683
4.65,-11.91,6.77,0.838
-8.46,-21.59,6.75,0.902
-9.18,-25.8,7.15,0.596
8.38,-24.03,6.91,0.485
-9.97,2.28,7.06,0.549
-6.23,2.47,7.23,0.853
0.522,18.95,7.02,0.732
6.08,18.3,7.08,0.78
-2.47,28.62,6.38,0.549
5.64,35.11,7.04,0.436
29.78,9.46,6.83,0.89
29.14,-3.33,6.78,0.853
22.67,5.98,6.72,0.951
28.75,28.33,7.43,0.853
14.13,26.96,7.08,0.884
27.95,12.02,6.96,0.829
15.56,11.32,7.03,0.936
14.19,42.15,8.28,0.415
25.1,37.04,7.03,0.671
13.59,41.8,8.38,0.427
45.34,-11.44,7.03,0.329
31.69,4.97,6.63,1.009
47.42,-2.17,6.97,0.652
31.32,-5.03,6.86,0.689
38.07,3.96,6.87,0.732
46.96,28.14,7.39,0.661
32.55,28.87,7.85,0.622
42.32,28.31,7.67,0.597
34.32,36.65,8.2,0.5
37.73,37.76,7.97,0.622
49.48,34.44,7.34,0.671
44.32,43.17,7.36,0.914
63.39,-4.89,7.23,0.268
54.73,4.79,6.92,0.661
53.88,6.38,7.08,0.646
55.9,-6.24,7.32,0.549
69.71,24.88,7.4,0.427
66.35,24.95,6.95,0.427
59.62,12.33,7.08,0.552
72.33,36.65,7.2,0.445
