obs,x,y,dia
1,11,34.4,44.1
2,110.1,150.4,23.7
3,136.2,122.1,15
4,144.4,131.8,13.8
5,119.4,170.8,7.5
6,95.3,158.4,8.7
7,135.3,126.6,15
8,114,165.1,14.2
9,196.9,151.4,43.4
10,36.3,67.7,40.9
11,54,137.7,6.6
12,116.1,156.8,42.9
13,113.9,13.1,67.3
14,161,131.9,2
15,101.5,171.8,5.7
16,186.5,88.8,3.9
17,62.9,87.9,32.5
18,140.6,137.7,31.7
19,54.1,115.5,45.5
20,90.9,162.1,3.6
21,166.4,33.6,25.7
22,33.9,21.4,36.9
23,90.2,161.7,4.6
24,143.5,36.9,16.4
25,159,126.1,21.6
26,200,8.8,32.9
27,18.9,11.3,44.1
28,101.5,120.8,59.5
29,156.7,155.3,23.5
30,183,88,5.4
31,163,35.8,25.5
32,6.1,96.2,44.6
33,120.7,115.6,12
34,72.9,36.2,23.3
35,60.1,143.7,14.9
36,56.5,105.5,46.5
37,177.2,174.5,27.8
38,33.7,162.3,40.6
39,62.2,137.7,7.8
40,156.1,116,31.5
41,102.8,169.7,23.1
42,115.3,128.1,14.5
43,114.2,54.6,39.7
44,10.8,0,31.4
45,76.2,171.4,2.1
46,186.1,91,3.2
47,188.2,91.2,3.3
48,56.7,95.3,37.4
49,105.2,142.3,6.3
50,0,177.5,50.8
51,26.9,111.3,44.4
52,182.8,162.9,49.6
53,0.4,175.2,50.9
54,166.2,132,2.5
55,110.6,51.5,14.5
56,184.3,92.1,4.3
57,103.9,139.4,4.3
58,197.6,176.9,7.4
59,116.5,122.6,19
60,65.6,179.3,47.2
61,164.6,120.9,15.1
62,30.9,52.2,43.5
63,66.5,15.9,31.9
64,24.3,145.7,44
65,129.7,119,13.8
66,100.6,53.1,7.4
67,56,137.7,9.5
68,168.7,133.4,2.4
69,43.6,197.3,48.1
70,104,67.1,34.9
71,141,127.8,7.8
72,86.1,186.9,30.5
73,174,125.7,2.2
74,161.3,134.9,3.5
75,101.4,9.3,49.9
76,48.9,67.8,33.7
77,120.4,79.2,46.8
78,44.7,184.6,47.9
79,144.1,199,40.4
80,169.1,160,4.3
81,184.1,88.2,2.8
82,61,69.8,42.2
83,42.2,153.7,44.3
84,103.5,141.3,8.1
85,190.6,92.1,3.2
86,145.5,148.4,8.9
87,5.1,3.9,28.4
88,18.2,80.3,20.8
89,106.7,49.4,25.3
90,144.6,25.4,4.2
91,31.2,127.9,35.5
